,000300.SH,000905.SH
2012-12-31,2522.952,3275.86
2013-01-04,2524.409,3258.251
2013-01-07,2535.985,3288.369
2013-01-08,2525.33,3327.04
2013-01-09,2526.126,3334.987
2013-01-10,2530.569,3356.35
2013-01-11,2483.23,3271.179
2013-01-14,2577.725,3384.745
2013-01-15,2595.856,3450.682
2013-01-16,2577.092,3450.56
2013-01-17,2552.758,3408.022
2013-01-18,2595.439,3464.645
2013-01-21,2610.898,3491.122
2013-01-22,2596.898,3435.434
2013-01-23,2607.456,3441.745
2013-01-24,2582.755,3369.732
2013-01-25,2571.674,3364.061
2013-01-28,2651.863,3449.794
2013-01-29,2675.866,3482.519
2013-01-30,2688.711,3500.578
2013-01-31,2686.882,3479.638
2013-02-01,2743.324,3507.709
2013-02-04,2748.028,3484.362
2013-02-05,2771.675,3520.646
2013-02-06,2775.844,3544.385
2013-02-07,2759.87,3557.667
2013-02-08,2771.725,3608.589
2013-02-18,2737.471,3627.776
2013-02-19,2685.606,3561.357
2013-02-20,2702.635,3635.375
2013-02-21,2610.549,3560.317
2013-02-22,2596.604,3548.358
2013-02-25,2604.96,3587.587
2013-02-26,2567.595,3533.204
2013-02-27,2594.677,3535.896
2013-02-28,2673.327,3608.199
2013-03-01,2668.836,3648.422
2013-03-04,2545.715,3518.717
2013-03-05,2622.807,3597.922
2013-03-06,2650.202,3653.934
2013-03-07,2619.479,3609.64
2013-03-08,2606.927,3570.38
2013-03-11,2592.372,3571.105
2013-03-12,2555.615,3481.175
2013-03-13,2527.486,3449.35
2013-03-14,2534.273,3464.854
2013-03-15,2539.873,3471.214
2013-03-18,2502.493,3427.12
2013-03-19,2525.097,3438.072
2013-03-20,2610.174,3527.772
2013-03-21,2614.988,3565.02
2013-03-22,2618.308,3579.92
2013-03-25,2613.097,3568.523
2013-03-26,2575.05,3543.812
2013-03-27,2583.53,3552.257
2013-03-28,2499.302,3448.977
2013-03-29,2495.083,3447.285
2013-04-01,2493.187,3470.96
2013-04-02,2486.391,3428.5
2013-04-03,2483.547,3397.232
2013-04-08,2472.299,3411.13
2013-04-09,2489.43,3444.371
2013-04-10,2485.309,3437.267
2013-04-11,2477.876,3423.217
2013-04-12,2462.112,3394.517
2013-04-15,2436.818,3346.851
2013-04-16,2459.592,3383.081
2013-04-17,2458.473,3412.416
2013-04-18,2464.851,3423.012
2013-04-19,2533.827,3495.242
2013-04-22,2530.67,3511.624
2013-04-23,2449.471,3416.449
2013-04-24,2495.579,3484.568
2013-04-25,2467.875,3431.401
2013-04-26,2447.306,3367.766
2013-05-02,2449.639,3383.398
2013-05-03,2492.912,3448.64
2013-05-06,2525.983,3514.457
2013-05-07,2529.938,3521.477
2013-05-08,2542.798,3553.848
2013-05-09,2527.794,3555.769
2013-05-10,2540.836,3577.327
2013-05-13,2530.768,3590.758
2013-05-14,2493.338,3549.303
2013-05-15,2506.925,3597.106
2013-05-16,2552.709,3635.755
2013-05-17,2592.048,3691.399
2013-05-20,2609.607,3737.748
2013-05-21,2614.853,3787.059
2013-05-22,2618.034,3755.874
